component,current_km,current_months,condition_metric_value,health_status
Gearbox Filter,79566.78,32.55,90.01,2
Rear Brake Pad,28738.52,13.62,8.6,0
Ignition Coil,47431.29,38.5,1.95,0
Gearbox,6365.84,1.41,38.38,0
Ignition Coil,87764.69,75.35,6.36,2
Gearbox Filter,61204.15,45.73,95.5,2
Gearbox Filter,35101.45,29.28,60.58,0
Ignition Coil,58301.2,14.72,10.65,2
Gearbox,11011.63,5.96,73.53,2
Front Brake Pad,54287.63,23.73,3.58,2
Front Brake Pad,55070.23,28.89,7.61,2
Gearbox Filter,8612.11,65.85,9.56,2
Front Brake Pad,4447.85,6.01,8.94,0
Rear Brake Pad,32095.96,15.56,2.31,2
Spark Plug,20463.65,64.61,4.92,2
Gearbox,7279.21,4.88,82.71,2
Gearbox Filter,28312.34,14.55,100.03,2
Spark Plug,46531.72,20.65,2.01,0
CVT/AT Oil,59958.98,14.47,39.46,2
Gearbox,5167.59,0.55,24.3,0
CVT/AT Oil,18760.96,5.72,2.24,2
Spark Plug,56438.89,62.9,5.72,2
Gearbox Filter,48412.76,22.3,15.23,0
Front Brake Pad,27195.08,32.66,6.66,2
CVT/AT Oil,55651.02,3.58,44.02,2
Spark Plug,78645.98,30.12,5.36,2
Rear Brake Pad,74094.18,47.49,4.39,2
Front Brake Pad,46403.87,9.0,5.76,2
Gearbox,5544.65,2.96,38.12,0
Ignition Coil,19096.57,25.17,11.4,2
Gearbox,11385.42,4.6,57.96,2
Gearbox Filter,89641.15,12.96,52.77,2
CVT/AT Oil,38185.72,45.04,95.97,2
Spark Plug,103480.19,20.41,5.15,2
Rear Brake Pad,21607.62,48.31,4.88,2
Gearbox Filter,26027.38,58.25,84.04,2
Ignition Coil,90877.47,95.81,4.3,2
Gearbox Filter,37631.76,39.36,58.12,0
Spark Plug,53897.78,31.69,0.68,0
Gearbox,6116.09,5.86,69.12,2
Ignition Coil,41000.1,63.06,4.46,0
Gearbox Filter,43107.35,64.58,41.45,2
Ignition Coil,158475.94,46.84,4.95,2
CVT/AT Oil,53928.92,50.28,115.32,2
CVT/AT Oil,42421.87,9.58,30.27,2
Front Brake Pad,4293.61,7.96,4.61,0
Rear Brake Pad,19275.86,3.24,2.93,2
Ignition Coil,106909.31,16.03,4.79,0
Rear Brake Pad,831.74,43.64,1.59,2
Rear Brake Pad,35519.41,37.08,3.75,2
Front Brake Pad,5868.42,8.03,1.69,2
Gearbox,367.2,7.12,1.07,2
Gearbox,7784.06,5.45,86.66,2
Gearbox,13702.66,3.74,41.35,2
Spark Plug,99405.38,23.25,1.78,2
Front Brake Pad,50503.98,32.62,7.77,2
Front Brake Pad,4576.26,26.05,7.25,2
Gearbox,10758.29,7.5,66.84,2
CVT/AT Oil,50713.53,28.37,82.98,2
Gearbox Filter,81059.95,59.3,71.69,2
Ignition Coil,39611.93,41.96,10.39,2
Gearbox,9350.86,5.99,19.24,1
Ignition Coil,51138.75,19.02,8.92,2
Gearbox,5787.89,8.84,35.2,2
Spark Plug,14493.54,30.68,2.16,0
CVT/AT Oil,25125.54,23.32,6.47,2
CVT/AT Oil,1846.51,33.34,91.28,0
Gearbox Filter,11121.52,7.27,64.02,0
Gearbox Filter,17724.01,55.97,87.37,2
Front Brake Pad,57686.68,8.3,2.95,2
Spark Plug,50116.68,53.04,0.85,2
Front Brake Pad,35313.18,32.35,1.48,2
Front Brake Pad,4732.97,0.95,2.35,2
Spark Plug,20418.32,18.34,1.97,0
Front Brake Pad,2501.01,19.27,6.34,0
Ignition Coil,19991.39,30.09,9.26,2
Rear Brake Pad,12877.33,46.33,2.78,2
Gearbox Filter,39226.35,32.56,1.69,0
Ignition Coil,131802.82,9.48,8.02,2
Gearbox Filter,86816.06,36.66,65.89,2
Gearbox,4852.32,0.21,45.03,0
Ignition Coil,22778.16,51.48,9.16,2
Front Brake Pad,32453.07,35.71,6.18,2
Gearbox,6222.71,6.91,3.65,2
Gearbox,9999.2,5.45,7.84,1
Front Brake Pad,23372.96,23.57,6.38,1
Gearbox Filter,68348.58,22.61,48.26,2
Rear Brake Pad,7548.64,53.61,1.14,2
Rear Brake Pad,79067.77,16.3,5.85,2
Gearbox Filter,48082.24,60.62,61.26,2
CVT/AT Oil,24642.02,38.9,61.38,2
Rear Brake Pad,59997.25,16.67,2.63,2
Front Brake Pad,52875.23,12.68,2.69,2
Gearbox,3628.92,7.89,1.71,2
Ignition Coil,33374.13,55.3,11.91,2
Gearbox Filter,5516.89,37.84,52.15,0
Spark Plug,82778.53,34.69,0.93,2
Rear Brake Pad,37806.51,32.83,0.94,2
Front Brake Pad,34137.61,29.42,7.75,2
Front Brake Pad,55632.15,26.05,7.49,2
CVT/AT Oil,27122.63,37.36,76.49,2
Rear Brake Pad,12057.74,36.26,0.04,2
CVT/AT Oil,33610.31,8.31,95.21,0
Rear Brake Pad,33620.97,11.57,5.27,0
Ignition Coil,168905.09,98.73,6.56,2
Gearbox,10345.52,6.52,62.83,2
Rear Brake Pad,35939.35,9.97,3.56,0
CVT/AT Oil,58828.25,26.67,1.16,2
Spark Plug,60341.17,3.74,7.07,2
Gearbox Filter,84902.16,26.29,95.82,2
CVT/AT Oil,1230.7,19.63,63.78,0
Front Brake Pad,43065.22,22.63,4.98,1
Ignition Coil,77062.21,21.14,0.33,0
Front Brake Pad,14555.68,3.02,4.35,0
Spark Plug,116961.41,43.48,5.51,2
Gearbox,7906.06,0.34,55.37,0
Spark Plug,18900.07,42.79,4.45,0
Front Brake Pad,57199.91,12.85,0.97,2
Gearbox Filter,20467.96,12.34,70.1,2
Ignition Coil,115839.38,9.5,10.72,2
Spark Plug,37604.33,33.29,2.93,0
CVT/AT Oil,18863.1,43.75,31.94,2
CVT/AT Oil,46891.39,50.26,29.49,2
Gearbox,4170.73,3.59,15.31,0
Ignition Coil,101667.45,36.63,3.87,0
Ignition Coil,101156.64,23.14,4.09,0
Front Brake Pad,17860.31,18.7,4.05,0
Ignition Coil,171736.9,83.72,9.64,2
Spark Plug,88353.59,41.14,0.5,2
Spark Plug,81410.31,43.76,2.95,2
Gearbox Filter,38664.25,39.91,34.52,0
Front Brake Pad,46397.64,13.41,2.36,2
Spark Plug,77843.41,45.9,4.15,1
Gearbox,10447.61,3.38,84.83,2
Ignition Coil,92264.87,49.54,7.71,0
Gearbox Filter,50285.65,45.0,10.14,0
Gearbox Filter,14883.34,70.4,11.33,2
Ignition Coil,8518.42,4.45,3.01,0
Spark Plug,52325.8,45.36,2.55,0
Spark Plug,48277.14,11.64,0.89,0
Spark Plug,34399.27,26.42,0.63,0
Spark Plug,109734.92,6.49,5.78,2
Front Brake Pad,54872.67,1.4,5.93,2
CVT/AT Oil,47687.87,6.09,64.02,2
CVT/AT Oil,31058.34,20.63,67.72,0
Front Brake Pad,24845.78,4.5,0.37,2
Gearbox,10653.15,3.28,74.99,2
Gearbox,7808.56,3.53,51.94,0
Front Brake Pad,49660.96,7.62,1.31,2
Gearbox Filter,87846.35,18.49,47.89,2
CVT/AT Oil,29389.68,27.94,51.88,0
Ignition Coil,93012.49,88.46,6.57,2
Ignition Coil,151157.65,107.69,3.51,2
Gearbox Filter,77321.73,16.44,23.11,2
Rear Brake Pad,52294.18,50.99,7.31,2
Rear Brake Pad,35346.16,27.24,4.18,0
Ignition Coil,49701.35,100.48,4.38,2
Rear Brake Pad,79793.06,40.59,3.81,2
Front Brake Pad,44558.03,30.1,6.47,2
Gearbox,11449.28,6.5,18.41,2
Rear Brake Pad,67127.78,42.91,6.73,2
Rear Brake Pad,29641.82,7.46,3.59,0
Gearbox Filter,72221.38,2.98,39.78,2
Gearbox,1065.37,4.39,63.19,2
Rear Brake Pad,10784.23,24.36,8.2,0
Rear Brake Pad,46770.11,41.66,4.7,2
Rear Brake Pad,29188.23,38.67,1.22,2
Ignition Coil,167495.27,86.37,5.19,2
Spark Plug,86088.43,67.92,3.96,2
Rear Brake Pad,21501.42,2.26,5.62,0
Front Brake Pad,27143.85,23.18,4.96,1
Rear Brake Pad,80021.75,25.26,5.92,2
Gearbox Filter,86481.37,64.3,75.51,2
CVT/AT Oil,41355.7,50.71,30.0,2
Gearbox,11191.96,4.69,24.17,2
Front Brake Pad,39604.38,28.65,4.28,2
Gearbox Filter,32389.43,67.59,56.06,2
Ignition Coil,173095.29,55.24,8.81,2
CVT/AT Oil,25192.22,27.44,7.56,2
Ignition Coil,97952.42,58.69,5.97,0
Ignition Coil,147296.74,69.21,3.72,2
Gearbox Filter,83938.11,43.56,69.25,2
Gearbox Filter,50123.26,7.79,98.0,2
Front Brake Pad,24877.97,34.56,7.38,2
Spark Plug,64188.49,25.09,0.99,0
Gearbox,4063.64,7.7,2.87,2
CVT/AT Oil,37309.47,32.47,65.53,1
Rear Brake Pad,71814.89,30.41,0.05,2
Spark Plug,22979.21,12.05,1.36,0
Ignition Coil,82706.99,107.11,2.72,2
Spark Plug,114470.5,58.62,6.78,2
Gearbox,8318.95,7.59,43.29,2
Front Brake Pad,6296.9,26.6,8.64,2
CVT/AT Oil,30335.15,22.31,105.22,0
Gearbox,8989.4,4.29,83.96,2
Gearbox Filter,14577.05,50.46,97.31,2
CVT/AT Oil,34981.12,49.08,113.04,2
Gearbox Filter,339.09,45.46,62.63,0
Front Brake Pad,36238.6,32.79,7.62,2
Gearbox Filter,57108.14,38.36,41.22,1
Gearbox Filter,23973.99,64.76,97.37,2
Gearbox,7812.43,4.04,23.05,0
Spark Plug,57113.07,8.83,6.96,2
CVT/AT Oil,44069.22,19.83,2.27,2
CVT/AT Oil,20318.6,6.83,49.74,0
Ignition Coil,125187.92,75.45,8.45,2
Gearbox Filter,21328.23,32.25,19.83,0
Gearbox Filter,17944.27,22.15,4.45,0
Gearbox,10754.63,7.89,19.47,2
Front Brake Pad,22087.43,8.72,1.52,2
Spark Plug,31508.68,18.35,5.79,2
CVT/AT Oil,41243.39,34.2,97.29,2
CVT/AT Oil,17786.44,15.13,17.52,2
Front Brake Pad,14824.29,24.39,6.83,2
Rear Brake Pad,6894.97,43.77,8.79,2
Spark Plug,2845.96,5.74,3.13,0
Front Brake Pad,55709.19,29.37,8.41,2
Spark Plug,87876.09,43.99,6.15,2
Ignition Coil,112767.42,85.88,11.63,2
Rear Brake Pad,48449.37,30.51,8.54,0
Spark Plug,75590.46,1.28,4.06,1
Gearbox,1477.42,2.39,44.56,0
CVT/AT Oil,20439.3,3.46,21.54,2
Ignition Coil,88835.55,95.11,4.77,2
Gearbox,3972.99,3.15,63.75,2
Spark Plug,108502.94,43.36,3.7,2
Rear Brake Pad,33289.98,35.02,6.53,1
Ignition Coil,110919.13,53.88,11.87,2
CVT/AT Oil,10940.11,50.88,90.61,2
Rear Brake Pad,16042.51,48.85,3.07,2
Rear Brake Pad,68920.59,23.82,6.45,2
Spark Plug,44286.74,51.99,1.31,2
Front Brake Pad,20965.57,16.59,6.07,0
Gearbox Filter,79578.66,33.99,40.21,2
CVT/AT Oil,36252.33,47.51,38.96,2
Front Brake Pad,57799.25,4.05,3.13,2
Rear Brake Pad,73999.0,15.96,6.35,2
Spark Plug,100258.34,11.71,6.41,2
Spark Plug,22634.46,8.17,4.1,0
Gearbox Filter,17459.46,20.51,53.04,0
Rear Brake Pad,72812.94,13.25,5.54,2
Gearbox,11711.78,1.73,4.51,2
Gearbox Filter,70018.6,35.5,59.23,2
CVT/AT Oil,24566.88,47.32,35.76,2
Spark Plug,21391.41,71.02,5.36,2
Rear Brake Pad,48138.55,47.34,8.21,2
CVT/AT Oil,39888.0,18.31,8.46,2
Front Brake Pad,67406.67,8.47,6.54,2
Front Brake Pad,19329.71,27.51,4.86,2
Gearbox,7325.02,0.2,61.82,2
CVT/AT Oil,50490.94,0.6,37.46,2
Spark Plug,48860.85,16.72,4.01,0
Gearbox Filter,53696.75,6.25,73.68,2
Gearbox,11309.07,0.99,42.1,2
Gearbox Filter,57725.39,55.45,14.86,2
Front Brake Pad,34928.62,33.28,4.94,2
Rear Brake Pad,33772.18,53.15,0.27,2
Gearbox,4281.08,7.6,38.92,2
Ignition Coil,49199.2,99.86,4.25,2
Spark Plug,34877.16,21.42,2.22,0
Gearbox Filter,62679.4,11.85,15.61,2
Front Brake Pad,26042.35,25.71,0.63,2
Front Brake Pad,32123.68,1.6,8.74,0
Ignition Coil,24248.83,16.3,9.51,2
Front Brake Pad,9880.18,6.8,7.73,0
Gearbox,10098.06,7.43,27.44,2
Spark Plug,41005.43,49.23,0.15,2
Spark Plug,53592.23,32.95,1.94,0
Front Brake Pad,62490.73,32.73,4.61,2
Rear Brake Pad,28516.04,39.16,1.09,2
Spark Plug,24838.36,66.11,6.11,2
Rear Brake Pad,79222.66,15.12,0.95,2
Rear Brake Pad,60389.59,8.65,0.07,2
CVT/AT Oil,6382.09,4.45,0.32,2
Gearbox,1495.89,3.27,45.12,0
Rear Brake Pad,31363.02,9.68,5.82,0
Gearbox Filter,52550.08,15.1,7.78,0
Front Brake Pad,14494.62,18.6,6.62,0
Front Brake Pad,62708.91,13.61,4.17,2
Rear Brake Pad,2287.86,2.13,5.29,0
Gearbox,8167.97,4.79,6.83,0
Rear Brake Pad,74026.6,11.81,2.19,2
Gearbox Filter,64829.06,38.12,41.53,2
Ignition Coil,88316.55,104.34,9.99,2
Front Brake Pad,5045.35,16.58,8.02,0
Gearbox,2585.86,3.22,65.65,2
Ignition Coil,168014.4,39.22,10.14,2
Spark Plug,52902.61,45.67,5.81,2
Rear Brake Pad,6419.07,3.74,1.89,2
Rear Brake Pad,31317.18,25.33,3.01,0
Rear Brake Pad,35458.88,22.49,4.06,0
Gearbox,14316.72,1.04,85.16,2
Ignition Coil,55796.42,100.71,2.98,2
Spark Plug,12830.38,36.34,5.23,2
Gearbox Filter,79355.03,60.39,61.13,2
Gearbox,8010.42,3.41,30.62,0
Spark Plug,52705.26,60.71,3.67,2
Rear Brake Pad,36194.07,5.53,0.55,2
Rear Brake Pad,61863.51,19.03,6.42,2
Rear Brake Pad,66853.94,2.75,1.99,2
Gearbox Filter,36486.36,24.28,1.49,0
Gearbox Filter,84941.0,57.9,18.97,2
Front Brake Pad,30713.54,27.62,5.94,2
Ignition Coil,23012.95,79.81,4.76,2
Gearbox Filter,13796.65,65.86,6.76,2
Ignition Coil,43543.04,43.04,0.23,0
Rear Brake Pad,70914.68,12.3,4.41,2
Spark Plug,92872.34,58.6,3.7,2
Ignition Coil,27463.36,92.79,5.61,2
Gearbox Filter,81306.7,7.51,103.18,2
Spark Plug,84764.25,20.91,1.24,2
Rear Brake Pad,38076.8,15.05,4.24,0
Spark Plug,88992.36,27.82,2.48,2
Front Brake Pad,28831.45,8.41,8.95,0
CVT/AT Oil,50608.75,37.17,35.38,2
Gearbox Filter,25756.28,14.32,98.32,2
Gearbox Filter,54270.35,57.82,83.13,2
Spark Plug,80150.94,6.73,3.81,2
Ignition Coil,121007.33,84.5,6.37,2
Rear Brake Pad,28616.38,28.73,4.6,0
Gearbox,3739.43,2.02,46.75,0
Ignition Coil,67208.14,97.43,11.01,2
CVT/AT Oil,49035.56,30.25,30.6,2
CVT/AT Oil,21549.71,32.41,14.17,2
Ignition Coil,8553.2,23.68,8.47,2
Gearbox Filter,51996.22,37.09,72.0,2
CVT/AT Oil,9594.79,21.5,69.6,0
Rear Brake Pad,46191.47,31.71,4.29,0
Rear Brake Pad,45748.05,1.29,2.82,2
Gearbox,309.65,8.66,41.61,2
Front Brake Pad,17309.97,0.36,2.47,2
CVT/AT Oil,26319.32,21.24,101.59,0
Gearbox Filter,18622.46,64.82,54.91,2
CVT/AT Oil,31919.3,43.69,93.69,2
Gearbox Filter,45573.28,48.38,95.72,2
Front Brake Pad,11651.12,0.09,4.06,0
Ignition Coil,89995.91,15.22,2.61,0
Spark Plug,30930.63,16.3,3.61,0
Gearbox Filter,1568.75,52.84,7.73,2
Spark Plug,86215.22,55.45,3.47,2
Ignition Coil,140232.15,28.15,1.95,2
Gearbox,12315.48,1.84,16.75,2
Gearbox,6863.53,2.41,75.78,2
Front Brake Pad,56612.56,15.43,6.54,2
CVT/AT Oil,1101.34,16.84,76.54,0
Front Brake Pad,2225.94,30.67,6.16,2
Rear Brake Pad,61916.66,42.79,2.76,2
Gearbox Filter,83791.73,60.58,67.98,2
Ignition Coil,88534.24,82.99,2.66,2
Gearbox,3712.59,0.72,6.29,0
Spark Plug,69062.43,66.62,1.1,2
Gearbox,9855.98,6.59,31.99,2
Rear Brake Pad,4023.62,40.79,2.4,2
Ignition Coil,148074.53,29.31,2.22,2
CVT/AT Oil,32003.69,27.78,30.81,2
Gearbox,5986.64,5.54,32.87,1
Gearbox,618.75,3.88,4.7,0
Ignition Coil,138311.99,9.63,2.53,2
Spark Plug,2401.41,18.21,3.88,0
Ignition Coil,6861.28,52.71,8.54,2
Gearbox,13886.28,5.81,37.33,2
Gearbox,3553.89,6.99,87.43,2
Ignition Coil,121646.09,60.47,9.48,2
Rear Brake Pad,23083.88,32.06,0.14,2
Spark Plug,13572.69,59.64,1.89,2
CVT/AT Oil,17603.77,47.4,91.79,2
Spark Plug,55246.34,26.24,2.65,0
Gearbox Filter,67614.58,48.85,20.83,2
CVT/AT Oil,58799.17,47.64,68.98,2
Spark Plug,92536.33,47.61,3.07,2
Rear Brake Pad,64692.74,32.6,8.25,2
Gearbox,224.25,8.01,22.05,2
Front Brake Pad,7988.31,35.87,7.09,2
Front Brake Pad,19847.68,25.57,1.04,2
Spark Plug,97824.77,6.1,4.67,2
Spark Plug,60452.81,46.51,7.3,2
Gearbox Filter,66231.18,60.37,99.71,2
Gearbox Filter,7067.45,40.36,34.87,0
Front Brake Pad,27021.7,13.19,5.04,0
Front Brake Pad,54406.11,24.95,0.05,2
Front Brake Pad,22618.74,1.24,2.59,2
CVT/AT Oil,17163.6,27.91,31.6,2
Front Brake Pad,40439.2,3.2,0.52,2
Ignition Coil,140141.49,79.32,6.89,2
Ignition Coil,101280.52,104.15,2.61,2
CVT/AT Oil,40403.49,48.13,96.47,2
Rear Brake Pad,49725.31,11.64,1.8,2
Ignition Coil,144314.54,80.81,9.53,2
Gearbox Filter,64598.45,48.95,87.25,2
Gearbox Filter,66845.77,29.83,49.72,2
Gearbox,8375.77,8.26,35.23,2
Ignition Coil,163848.92,68.1,6.96,2
Rear Brake Pad,81737.06,5.24,5.46,2
Spark Plug,17980.58,19.01,7.11,2
Gearbox,443.13,3.91,25.0,0
Gearbox Filter,1842.94,37.58,66.88,0
CVT/AT Oil,5511.02,24.03,119.94,0
Spark Plug,93168.4,22.42,4.26,2
Rear Brake Pad,20470.34,0.17,2.73,2
Rear Brake Pad,70823.53,33.47,0.74,2
Gearbox Filter,60939.11,14.32,8.37,2
Gearbox,1183.53,0.82,38.47,0
Gearbox,4046.94,4.6,39.61,0
Rear Brake Pad,83529.55,28.63,3.18,2
Ignition Coil,29916.1,37.74,8.9,2
Gearbox Filter,72144.51,57.0,102.66,2
Ignition Coil,102724.14,52.3,6.6,0
Front Brake Pad,24464.12,26.55,5.4,2
Ignition Coil,134932.64,14.68,0.8,2
CVT/AT Oil,49895.9,50.35,90.01,2
Rear Brake Pad,16762.04,26.21,7.47,0
Rear Brake Pad,55443.47,6.71,5.22,1
Rear Brake Pad,28080.12,49.13,7.83,2
CVT/AT Oil,19487.93,15.84,4.01,2
Front Brake Pad,5375.81,21.0,8.53,0
Rear Brake Pad,73686.42,6.73,7.72,2
Spark Plug,113604.95,28.62,1.63,2
Rear Brake Pad,66839.46,9.71,8.23,2
CVT/AT Oil,28597.45,46.75,3.85,2
Spark Plug,44222.12,3.89,5.72,2
Front Brake Pad,49209.78,33.4,2.99,2
CVT/AT Oil,37475.84,22.51,67.23,1
Gearbox Filter,9072.65,18.74,18.59,0
Rear Brake Pad,81837.37,0.44,6.62,2
Rear Brake Pad,63210.46,15.07,5.21,2
Rear Brake Pad,60501.07,0.29,8.86,2
Ignition Coil,161119.12,71.2,4.14,2
CVT/AT Oil,18671.62,41.58,104.01,2
Front Brake Pad,62232.01,5.07,2.02,2
Ignition Coil,112169.12,50.68,1.4,1
Gearbox Filter,84.87,54.51,103.45,2
Gearbox Filter,41418.6,65.07,43.03,2
Gearbox,7156.95,4.03,69.77,2
Ignition Coil,164655.7,57.99,8.73,2
Rear Brake Pad,52487.56,12.42,1.33,2
Gearbox Filter,21894.58,63.17,78.01,2
CVT/AT Oil,53643.28,50.56,96.88,2
Front Brake Pad,5855.47,12.13,1.16,2
Rear Brake Pad,18239.12,23.88,0.51,2
Spark Plug,109058.88,1.52,2.61,2
Rear Brake Pad,69023.6,22.47,0.15,2
Spark Plug,50009.89,54.53,1.7,2
Rear Brake Pad,14527.53,20.09,7.62,0
Front Brake Pad,65167.35,14.99,2.39,2
Spark Plug,28944.81,12.11,7.29,2
Ignition Coil,87980.29,44.06,2.54,0
Gearbox,3339.05,2.35,46.07,0
CVT/AT Oil,37998.73,24.97,66.73,1
Front Brake Pad,47548.59,17.72,0.85,2
Rear Brake Pad,60205.83,40.34,8.24,2
Gearbox Filter,67885.41,1.48,26.18,2
Rear Brake Pad,57917.17,0.82,7.75,1
Front Brake Pad,33279.87,30.48,5.41,2
Gearbox,6522.02,1.81,9.68,0
Rear Brake Pad,41428.93,2.13,0.13,2
Front Brake Pad,55848.43,24.43,0.59,2
Rear Brake Pad,2867.11,25.34,8.32,0
Gearbox,5552.22,0.64,80.47,2
Ignition Coil,93470.41,92.66,4.7,2
Ignition Coil,31937.7,51.57,5.94,0
Gearbox,6255.83,2.06,20.86,0
Spark Plug,15734.55,32.79,6.08,2
Ignition Coil,85378.6,42.3,10.99,2
Rear Brake Pad,60698.93,21.85,4.01,2
Front Brake Pad,31173.82,0.76,2.05,2
Gearbox Filter,21817.69,13.27,6.81,0
Ignition Coil,124134.43,50.69,5.28,2
Ignition Coil,122277.0,50.81,4.65,2
Rear Brake Pad,80194.97,17.99,1.33,2
Rear Brake Pad,78723.18,9.21,1.23,2
Ignition Coil,3896.62,56.16,8.16,2
Gearbox,3403.51,8.36,64.57,2
Gearbox Filter,60047.13,17.63,75.24,2
CVT/AT Oil,10325.99,16.49,38.58,2
Gearbox Filter,86577.99,52.05,67.68,2
Rear Brake Pad,2561.17,33.99,8.78,0
Front Brake Pad,45962.68,32.3,8.02,2
Front Brake Pad,52924.17,22.41,2.84,2
Spark Plug,84645.67,20.99,2.12,2
Gearbox Filter,86852.85,18.75,1.94,2
Gearbox Filter,42568.29,48.39,63.76,2
Spark Plug,31410.34,36.91,2.48,0
CVT/AT Oil,38860.16,24.39,116.24,1
Gearbox,11596.35,2.99,74.83,2
CVT/AT Oil,21897.43,14.78,60.72,0
CVT/AT Oil,19090.51,14.4,116.04,0
Gearbox,11250.92,0.89,75.51,2
Ignition Coil,125824.93,27.31,0.49,2
Ignition Coil,166038.41,71.96,2.83,2
Front Brake Pad,33844.26,31.44,0.76,2
Gearbox,4563.69,4.63,64.21,2
CVT/AT Oil,49385.25,2.27,56.53,2
Spark Plug,6479.92,25.94,6.1,2
CVT/AT Oil,25940.03,52.88,10.64,2
CVT/AT Oil,2473.08,31.55,5.83,2
Gearbox Filter,32441.67,30.99,43.0,0
Rear Brake Pad,41027.99,40.44,6.0,2
Spark Plug,12974.8,30.81,0.74,0
Front Brake Pad,45074.96,2.14,5.92,2
CVT/AT Oil,18995.78,36.57,58.08,2
CVT/AT Oil,46950.72,29.39,18.52,2
Front Brake Pad,57079.78,32.8,7.39,2
CVT/AT Oil,22079.1,4.19,85.62,0
Spark Plug,108964.19,16.97,6.81,2
Ignition Coil,75129.68,32.14,10.95,2
Spark Plug,46724.16,67.7,3.2,2
Gearbox,1205.05,7.11,38.05,2
Gearbox Filter,22792.08,68.8,3.01,2
Ignition Coil,175298.0,6.44,9.75,2
Spark Plug,58961.89,62.82,5.34,2
Ignition Coil,63684.51,36.03,0.46,0
Gearbox,11795.51,2.25,37.53,2
Gearbox,4302.19,3.62,66.56,2
Spark Plug,17047.39,50.75,6.79,2
Ignition Coil,157225.17,24.53,0.1,2
Rear Brake Pad,43883.86,31.23,6.2,0
CVT/AT Oil,45909.19,25.4,38.08,2
Gearbox Filter,70756.44,27.14,10.54,2
Gearbox,11122.76,5.39,5.18,2
CVT/AT Oil,52062.33,0.12,45.63,2
Spark Plug,41541.01,24.36,6.06,2
Gearbox Filter,32852.28,65.12,52.84,2
Rear Brake Pad,11809.39,31.94,5.7,0
Ignition Coil,92352.5,87.91,9.32,2
Spark Plug,102610.64,47.39,3.26,2
CVT/AT Oil,53606.61,10.48,15.65,2
Gearbox Filter,27858.78,40.98,25.83,0
Rear Brake Pad,48751.81,34.91,4.91,0
Gearbox,12712.51,3.0,36.0,2
Spark Plug,116309.9,43.83,3.0,2
Spark Plug,116757.29,11.02,2.02,2
Front Brake Pad,2833.01,6.36,7.78,0
Rear Brake Pad,70668.26,12.82,2.6,2
Gearbox,12385.07,6.28,7.4,2
Rear Brake Pad,57847.67,28.96,2.47,2
CVT/AT Oil,36061.55,17.68,93.71,0
Front Brake Pad,23362.49,26.88,7.62,2
Gearbox,12565.94,1.37,7.46,2
Spark Plug,80442.44,71.28,4.95,2
CVT/AT Oil,30044.09,24.62,41.33,0
Ignition Coil,136721.13,92.12,11.67,2
Front Brake Pad,48336.31,14.19,6.09,2
Spark Plug,5792.63,0.07,4.5,0
CVT/AT Oil,50098.17,48.76,97.73,2
Ignition Coil,48511.91,15.64,6.98,0
Gearbox Filter,47159.39,36.36,55.15,0
Spark Plug,2016.87,37.46,5.22,2
Rear Brake Pad,16120.74,5.58,0.47,2
Front Brake Pad,38616.74,30.71,7.25,2
CVT/AT Oil,12501.65,24.94,109.24,0
Front Brake Pad,3376.27,17.54,3.2,0
CVT/AT Oil,44864.42,13.63,49.76,2
Gearbox Filter,4450.27,61.11,1.05,2
Ignition Coil,146619.68,57.63,1.69,2
CVT/AT Oil,540.34,12.72,16.53,2
Front Brake Pad,20506.98,18.34,6.72,0
Front Brake Pad,20117.81,1.26,0.34,2
CVT/AT Oil,3955.73,28.72,7.46,2
Spark Plug,51807.94,32.62,3.85,0
Rear Brake Pad,24615.26,6.57,5.0,0
Rear Brake Pad,62863.24,42.13,2.97,2
Gearbox Filter,55825.09,39.18,77.68,2
Ignition Coil,169426.48,64.7,11.91,2
Gearbox,6484.07,3.71,68.78,2
CVT/AT Oil,26727.52,38.56,104.11,2
Front Brake Pad,50516.75,27.32,8.58,2
Gearbox,4535.75,7.16,30.22,2
Spark Plug,10838.23,40.51,3.59,0
Front Brake Pad,55707.86,2.39,1.54,2
Spark Plug,108644.78,29.48,7.15,2
Rear Brake Pad,44513.08,11.41,3.44,0
Front Brake Pad,27128.16,20.73,5.25,0
Rear Brake Pad,6574.66,20.42,6.39,0
Spark Plug,37171.75,69.93,0.88,2
CVT/AT Oil,11423.0,50.81,62.54,2
Spark Plug,84613.58,61.22,3.26,2
Front Brake Pad,39845.19,22.68,7.61,0
Front Brake Pad,12959.46,8.1,2.44,2
CVT/AT Oil,58588.97,48.7,15.28,2
Gearbox,2755.93,3.41,80.49,2
Ignition Coil,99690.49,57.22,3.86,0
Spark Plug,38522.58,16.2,6.58,2
Front Brake Pad,52431.86,22.53,3.68,2
Spark Plug,59466.68,1.29,2.51,0
Front Brake Pad,41145.88,3.28,4.27,0
Gearbox Filter,18956.86,68.32,35.23,2
Ignition Coil,72676.19,22.44,7.78,0
Front Brake Pad,1631.5,11.03,6.0,0
Rear Brake Pad,67668.86,7.56,3.13,2
CVT/AT Oil,48060.49,21.45,25.46,2
Gearbox,2017.88,1.56,32.19,0
Rear Brake Pad,9880.47,30.94,0.21,2
Rear Brake Pad,58824.27,45.26,4.73,2
Gearbox,7870.33,5.0,66.82,2
Gearbox Filter,27393.1,49.14,88.99,2
Spark Plug,53273.4,54.37,5.63,2
